datetime,temp,dew,humidity,precip,preciptype,snow,windspeed,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,conditions,description,icon,,holidays
3/27/2023,12.4,8.1,75.5,0.511,rain,0,17.8,15.4,62.5,5.1,3,10,2023-03-27T07:00:52,2023-03-27T19:26:49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,,workday
3/28/2023,11.5,2.8,57.5,0,nothing,0,25.7,16,166.3,14.3,7,10,2023-03-28T06:59:18,2023-03-28T19:27:47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
3/29/2023,11.1,-1.1,43.4,0,nothing,0,21.3,16,198.2,17.2,7,10,2023-03-29T06:57:44,2023-03-29T19:28:45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
3/30/2023,8.1,-5.3,39.7,0,nothing,0,35.7,16,220.7,18.9,8,10,2023-03-30T06:56:10,2023-03-30T19:29:43,Clear,Clear conditions throughout the day.,clear-day,,workday
3/31/2023,12.1,4.9,62.5,0,nothing,0,43.5,16,83.7,7.4,4,10,2023-03-31T06:54:36,2023-03-31T19:30:41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/1/2023,18,11.9,70.3,6.493,rain,0,58.1,15.6,130.5,11.3,7,30,2023-04-01T06:53:03,2023-04-01T19:31:39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,,workday
4/2/2023,10.6,-1.8,42.6,0,nothing,0,45.3,16,230.5,19.8,8,10,2023-04-02T06:51:30,2023-04-02T19:32:37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,,workday
4/3/2023,13.3,4.5,56.9,0,nothing,0,35.9,16,208.3,18,8,10,2023-04-03T06:49:57,2023-04-03T19:33:35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/4/2023,19.3,11,59.6,0,nothing,0,20.6,16,220.4,19,8,10,2023-04-04T06:48:24,2023-04-04T19:34:32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/5/2023,22.5,15.7,67.9,0,nothing,0,32.6,15.9,182.3,15.9,8,10,2023-04-05T06:46:52,2023-04-05T19:35:30,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/6/2023,23.3,15.6,63,0.823,rain,0,44.8,15.7,138.7,11.9,6,10,2023-04-06T06:45:20,2023-04-06T19:36:28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,,workday
4/7/2023,12.7,0.1,42.9,0.289,rain,0,30.2,16,39,3.4,1,10,2023-04-07T06:43:49,2023-04-07T19:37:26,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,,workday
4/8/2023,9.4,-3.3,41.6,0,nothing,0,30.1,16,145.5,12.6,7,10,2023-04-08T06:42:18,2023-04-08T19:38:23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/9/2023,10.6,-1.4,47.1,0,nothing,0,16,16,246.6,21.4,9,10,2023-04-09T06:40:48,2023-04-09T19:39:21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
